P63_E135_merged.bed	24	24	21	22	26	19	19	16	11	15	12	7	7	8
P63_E145_merged.bed	14	13	12	7	4	7	10	7	5	8	6	3	6	0
P63_common.bed	8	6	8	7	14	2	8	7	5	5	5	2	1	0
